sic,sic_2,sic_class,sic_industry
2823,28,D,Manufacturing
2824,28,D,Manufacturing
2831,28,D,Manufacturing
2833,28,D,Manufacturing
2834,28,D,Manufacturing
2835,28,D,Manufacturing
2836,28,D,Manufacturing
2838,28,D,Manufacturing
2839,28,D,Manufacturing
2841,28,D,Manufacturing
2842,28,D,Manufacturing
2843,28,D,Manufacturing
2844,28,D,Manufacturing
2851,28,D,Manufacturing
2861,28,D,Manufacturing
2865,28,D,Manufacturing
2869,28,D,Manufacturing
2873,28,D,Manufacturing
2874,28,D,Manufacturing
2875,28,D,Manufacturing
2879,28,D,Manufacturing
2891,28,D,Manufacturing
2892,28,D,Manufacturing
2893,28,D,Manufacturing
2895,28,D,Manufacturing
2899,28,D,Manufacturing
2911,29,D,Manufacturing
2951,29,D,Manufacturing
2952,29,D,Manufacturing
2992,29,D,Manufacturing
2999,29,D,Manufacturing
3011,30,D,Manufacturing
3021,30,D,Manufacturing
3031,30,D,Manufacturing
3041,30,D,Manufacturing
3052,30,D,Manufacturing
3053,30,D,Manufacturing
3061,30,D,Manufacturing
3069,30,D,Manufacturing
3079,30,D,Manufacturing
3081,30,D,Manufacturing
3082,30,D,Manufacturing
3083,30,D,Manufacturing
3084,30,D,Manufacturing
3085,30,D,Manufacturing
3086,30,D,Manufacturing
3087,30,D,Manufacturing
3088,30,D,Manufacturing
3089,30,D,Manufacturing
3111,31,D,Manufacturing
3131,31,D,Manufacturing
3142,31,D,Manufacturing
3143,31,D,Manufacturing
3144,31,D,Manufacturing
3149,31,D,Manufacturing
3151,31,D,Manufacturing
3161,31,D,Manufacturing
3171,31,D,Manufacturing
3172,31,D,Manufacturing
3199,31,D,Manufacturing
3211,32,D,Manufacturing
3221,32,D,Manufacturing
3225,32,D,Manufacturing
3229,32,D,Manufacturing
3231,32,D,Manufacturing
3241,32,D,Manufacturing
3251,32,D,Manufacturing
3253,32,D,Manufacturing
3255,32,D,Manufacturing
3259,32,D,Manufacturing
3261,32,D,Manufacturing
3262,32,D,Manufacturing
3263,32,D,Manufacturing
3264,32,D,Manufacturing
3269,32,D,Manufacturing
3271,32,D,Manufacturing
3272,32,D,Manufacturing
3273,32,D,Manufacturing
3274,32,D,Manufacturing
3275,32,D,Manufacturing
3281,32,D,Manufacturing
3291,32,D,Manufacturing
3292,32,D,Manufacturing
3293,32,D,Manufacturing
3295,32,D,Manufacturing
3296,32,D,Manufacturing
3297,32,D,Manufacturing
3299,32,D,Manufacturing
3312,33,D,Manufacturing
3313,33,D,Manufacturing
3315,33,D,Manufacturing
3316,33,D,Manufacturing
3317,33,D,Manufacturing
3321,33,D,Manufacturing
3322,33,D,Manufacturing
3324,33,D,Manufacturing
3325,33,D,Manufacturing
3331,33,D,Manufacturing
3332,33,D,Manufacturing
